🕘️更新时间,#genre#
2026-01-19 06:27:27,https://guangdongcmcc.tv12.xyz/6.m3u8

,#genre#
CCTV-1,https://guangdongcmcc.tv12.xyz/6.m3u8
CCTV-1,http://58.17.48.228:808/hls/1/index.m3u8
CCTV-1,http://140.250.221.14:4022/udp/239.21.1.120:5002
CCTV-1,http://171.213.211.24:4022/udp/239.93.0.184:5140
CCTV-1,http://124.226.132.38:19090/udp/239.81.0.102:4056
CCTV-1,http://116.16.188.30:4022/udp/239.77.1.144:5146
CCTV-1,http://114.226.205.65:4022/rtp/239.49.8.129:6000
CCTV-1,http://114.226.205.65:4022/rtp/239.49.8.19:9614
CCTV-1,http://180.105.218.230:4022/rtp/239.49.8.129:6000
CCTV-1,http://180.105.218.230:4022/rtp/239.49.8.19:9614
CCTV-2,https://guangdongcmcc.tv12.xyz/7.m3u8
CCTV-2,http://58.17.48.228:808/hls/2/index.m3u8
CCTV-2,http://140.250.221.14:4022/udp/239.21.1.151:5002
CCTV-2,http://171.213.211.24:4022/udp/239.93.1.23:6000
CCTV-2,http://113.101.119.50:8090/hls/114/index.m3u8
CCTV-2,http://124.226.132.38:19090/udp/239.81.0.115:4056
CCTV-2,http://116.16.188.30:4022/udp/239.77.1.158:5146
CCTV-2,http://114.226.205.65:4022/rtp/239.49.8.130:6000
CCTV-2,http://114.226.205.65:4022/rtp/239.49.8.50:9802
CCTV-2,http://180.105.218.230:4022/rtp/239.49.8.130:6000
CCTV-3,https://guangdongcmcc.tv12.xyz/8.m3u8
CCTV-3,http://58.17.48.228:808/hls/3/index.m3u8
CCTV-3,http://140.250.221.14:4022/udp/239.21.2.45:5002
CCTV-3,http://171.213.211.24:4022/udp/239.93.1.11:2223
CCTV-3,http://113.101.119.50:8090/hls/115/index.m3u8
CCTV-3,http://124.226.132.38:19090/udp/239.81.0.231:4056
CCTV-3,http://116.16.188.30:4022/udp/239.77.0.169:5146
CCTV-3,http://114.226.205.65:4022/rtp/239.49.1.3:6000
CCTV-3,http://180.105.218.230:4022/rtp/239.49.1.3:6000
CCTV-3,http://110.80.17.38:9999/tsfile/live/0003_1.m3u8
CCTV-4,https://guangdongcmcc.tv12.xyz/9.m3u8
CCTV-4,http://58.17.48.228:808/hls/4/index.m3u8
CCTV-4,http://140.250.221.14:4022/udp/239.21.1.154:5002
CCTV-4,http://140.250.221.14:4022/udp/239.21.2.29:5002
CCTV-4,http://140.250.221.14:4022/udp/239.21.2.28:5002
CCTV-4,http://171.213.211.24:4022/udp/239.93.1.105:5140
CCTV-4,http://113.101.119.50:8090/hls/116/index.m3u8
CCTV-4,http://124.226.132.38:19090/udp/239.81.0.96:4056
CCTV-4,http://116.16.188.30:4022/udp/239.77.1.163:5146
CCTV-4,http://116.16.188.30:4022/udp/239.77.0.194:5146
CCTV-5,https://guangdongcmcc.tv12.xyz/10.m3u8
CCTV-5,http://58.17.48.228:808/hls/5/index.m3u8
CCTV-5,http://140.250.221.14:4022/udp/239.21.2.46:5002
CCTV-5,http://140.250.221.14:4022/udp/239.21.1.142:5002
CCTV-5,http://171.213.211.24:4022/udp/239.93.42.37:5140
CCTV-5,http://171.213.211.24:4022/udp/239.93.1.36:8004
CCTV-5,http://113.101.119.50:8090/hls/58/index.m3u8
CCTV-5,http://124.226.132.38:19090/udp/239.81.0.232:4056
CCTV-5,http://124.226.132.38:19090/udp/239.81.0.101:4056
CCTV-5,http://116.16.188.30:4022/udp/239.77.0.170:5146
CCTV-5+,https://guangdongcmcc.tv12.xyz/11.m3u8
CCTV-5+,http://58.17.48.228:808/hls/27/index.m3u8
CCTV-5+,http://113.101.119.50:8090/hls/10/index.m3u8
CCTV-5+,http://113.15.109.216:59901/tsfile/live/1001_1.m3u8
CCTV-5+,https://cc05.tv12.xyz/6.m3u8
CCTV-5+,https://cc06.tv12.xyz/6.m3u8
CCTV-5+,http://120.238.94.10:9901/tsfile/live/1023_1.m3u8
CCTV-5+,http://cssbyd.imwork.net:8082/hls/6/index.m3u8
CCTV-5+,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8
CCTV-5+,http://120.211.62.180:8000/hls/18/index.m3u8
CCTV-6,https://guangdongcmcc.tv12.xyz/12.m3u8
CCTV-6,http://58.17.48.228:808/hls/6/index.m3u8
CCTV-6,http://140.250.221.14:4022/udp/239.21.2.47:5002
CCTV-6,http://171.213.211.24:4022/udp/239.93.1.13:2226
CCTV-6,http://124.226.132.38:19090/udp/239.81.0.233:4056
CCTV-6,http://116.16.188.30:4022/udp/239.77.0.171:5146
